NEU	@Bejardo ahh no eso fijo... Pero en este caso en especifico hablo solamente de vestimenta
P	Una belleza para estas horas!  Te la dedico si no puedes dormir!  Emeli Sande - Daddy - Acoustic Harmony: http://t.co/j9KWFTSY vía @youtube
P	@javierarenas_pp y el @ppandaluz se comprometen con Cádiz y su Sierra a desdoblar la conexión Arcos-Antequera. #votaPP #votaJavierArenas.
N	Que un restaurante tarde 30 min en tomarte nota y otros 30 en servirlo, ?es slow food o es una tomadura de pelo?
N	"La iglesia católica ofrece ""una vida apasionante"" y un ""trabajo fijo"" (para toda la eternidad). http://t.co/JkbdAPDR"
N	“@TelediarioInter: Top Secret: El #PSOE de Andalucía despilfarra otros 90 millones de euros en subvenciones. http://t.co/aiWHNXRJ”
NEU	No te diré porque duele tanto sé que no quieres saber lo que pienso ni lo que diré ni mis motivos Tu eres realmente bueno para mi
P	Con mi padre, Don Tomás!!! Cuanto te quiero!!! http://t.co/UTFkJ1bd
N	Mas #EREs @pepegrinan ? uf!El Tribunal de Cuentas pide revisar las subvenciones del Plan de Empleo de la Bahía de Cádiz http://t.co/vsqm4UgJ
P	Ojala pueda ir pronto besos Rosarinos. RT @JuliDecastello: @AlejandroSanz Besos enormes desde #Rosario Argentina! ... http://t.co/VysPgSkt
P	Estas sugerencias suenan bien ....
P	Antes de desmontar la estantería q acabo de montar, el congreso del PSC ha sido un triunfo total de C. Chacón (o sea, de su candidato)
N	Rajoy rectifica en horas un ataque directo al Estatuto de Andalucía. (Se adivina el susto de Javier Arenas): http://t.co/dh1xkeaI
P	@Tu_PS4 @ComunidadFF Pues perfecto, una buena cerveza entra siempre bien 
N	Mal va un país cuando se pretend un neo lenguaje adecuado al 'nuevo tiempo. La extorsion es y será extorsion al margen de conveniencias 2/2
NONE	A ver que vota el @psoemalaga en el #plenomlg sobre nuestra propuesta para evitar esto...#sonpersonas 100 camas mas http://t.co/vhB3pYBq
P	Preparados!Listos!Ya! http://t.co/xBfQaOmk
N	La Vida De Brian en la 2 de TVE. El frente del pueblo judaico,  escuadrón de suicidio. Qué han hecho por nosotros los romanos?
NONE	De camino a intereconomia, telediario con @PilarGGranja , 15.00: discurso de investidura.
N	¿A alguien le sorprende que abaratar el despido aumente los despidos?
P	RT @CanalSolidario: Y seguimos llenando el mapa de entidades donde donar juguetes nuevos o usados: http://t.co/gYTOx3TY ¿Conoces más lug ...
P	Ayer despedí el año con mi familia y con toda esta gente maravillosa!! Una manera original y divertida!!FELIZ AÑO 2012! http://t.co/qXknE5RH
N	Se nos olvida:No es un problema de España!. La mayoría de países euro NO CUMPLEN con déficit.Por lo tanto, el ajuste cae por su propio peso
N	A los que os habéis quedado sin entrada, lo siento mucho, no sabia que había tanto interés (sobre todo porque es una quedada chorra)...
P	Yo llevo obstlav el lunes. El q este a su hora, lo tiene asegurado! @jpedrerol @mcuquerella @icacabelos @elcharlas casi hora d cenar, byes
N	lo tendré en cuenta. Pero no parece cercano...mas bien hay q emigrar... “@TrasgodeGaceta:  Cuando se pueda elegir ser Liechtenstein, avisa”
NONE	Portada La Razón http://t.co/VoYMPtLJ ...
NONE	"DRAE sobre ""extorsión"" al margen de conveniencias políticas: http://t.co/gfPnSyif"
P	Ahora rumbo a México , feliz por Teleton ! Abrazo ! Gracias Colombia !
P	El Congreso aplaude a Fátima Báñez. Soberanía nacional vs coacción sindical. @TelediarioInter 20:30
NONE	Portada La Razón http://t.co/ZQLLjJoU ...
N	pero que dice @mariojimenez de espolones ??? de verdad, q intervencion mas mala.... #arenaspresidente
P	Que ganas!!! RT @Davarona: @mrtfernandez Hola!! Nos vemos en iRedes, en Burgos! Bss
N	@WingedArrow_ @redskyF2 si pero es de Mario joder comprate una propia 
P	Gracias a todos x vuestra felicitacion. Un abrazo. http://t.co/fbnWbP2O
P	El camino es duro, pero hay que seguir por los sueños
N	En el AVE con @JoseMotatv para ir a Barna. #palizon #señorasmayoresdegira #abuelas #desmadreenelgeriatrico
NONE	cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo
P	Las cámaras d @13tv_AlDia están preguntando: ¿cree q con el #25M se abre un ciclo político en España favorable al @PSOE y @_Rubalcaba_ ?
N	me voy a quedar afónico de tanto hacer guturales con fiebre 
NEU	"En 2 segundos lo q otros tardan 1 mes. RT @elmundo: Amancio Ortega ha ganado 448 euros cada segundo esta semana http://t.co/FdfHYdT1"""
P	Messi, Messi, Messi, Messi y Messi
NEU	Algunos critican q Asturias celebre dos elecciones autonómicas en apenas 10 meses. En 2003 aplaudían q Aguirre las convocase en Madrid
N	Mami se acaba de ir y ya la extraño
N	. @elconfidencial Mirad: enfermos de salud mental de el Clínico #Malaga en los pasillos...Andalucia imparable?  http://t.co/3AdFiyA9
N	Por dicha solo me volvió a ver y siguió durmiendo, pero me dio lástima
NEU	Me alegra que el club recurra mi segunda tarjeta amarilla porque a pesar de que algunos no paren de revolcarse, ni le toco.Buen día senor@s.
P	Feliz día de San Patricio nos vemos en la Plaza Mayor de Salamanca esta tarde a las 19,50
N	Odyssey presenta recurso ante Supremo EEUU.Intenta evitar devolución a España d 500000 monedas de oro y plata dl 'Nª Señora de las Mercedes'
N	@iescolar es indignante! Los chavales han dado hoy, sin policía represiva, una lección de urbanidad. Para cuándo las destituciones?
NONE	y Fraga en el palco, ha sacado abono para los próximos 25 años“@pozas_interviu: @japtapias @fgarea Sí, lo darán Raphael y Sergio Dalma.”
NONE	En unos minutos intervengo en un acto con mujeres en Dos hermanas. Os dejo con mi equipo.
N	En mi opinión, el presupuesto no se puede recortar en inversión, sino en gasto corriente.
N	Tanto recortar, Rajoy va a empezar por las consonantes. Se salta una de cada dos. (le he dao, senao)
P	GRACIAAAAAAAAAS!!!! OS AMOOOOOOOOOO!!!!
NONE	Arcadi Espada sobre la inmersión lingüística http://t.co/UiJU7e0c
P	@iMCZC Ay, no me diga eso, todo es posible aún.
NONE	En la reunión de la Red de Ciudades Inteligentes que hoy se celebra en Logroño http://t.co/G97s1cpC
P	Pues la mejor es la 1 :)) “@espidifen600mg: @pedroj_ramirez elijo la 2..no, la 3! NO! la caja!! elijo la caja!!!”
P	Qué rico el silencio de mi cuarto
P	@_Star_Vader tanto libro chiva que hay Y buen punto... Comida entonces
N	Ptmr hoy se presenta trébol clan y recuerdo que en gotica se presentó y fue la última vez que lo vi y hice mi cagada claro
N	"Manjón:""Estaríamos encantados de que hubiera sido ETA y que el explosivo fuera tytadine pq así podríamos pertenecer a cualquier gobierno..."""
N	Las fuerzas de Al Assad ejecutan a 18 personas, incluidos dos niños - http://t.co/ABRkyF5J Reuters
P	Como siempre buenísimo Santiago Gonzalez. Sobre el proceso del PSOE http://t.co/ezHwI2Qb
P	Muchas gracias “@viul_abloguear: El libro de @pedroj_ me ha enganchado desde la primera página. Muy recomendable como regalo de navidades.”
NONE	"""El jabalí es el cerdo que defiende sus jamones"" via @GmezDeLaSerna // @JorgeBustos1 @iruizquintano"
N	"Explicaciones @marianorajoy: ""Hemos tenido que..."" ""cosas que a nadie le gusta hacer..."" ""no hay más remedio que..."" ""no hay alternativa..."""
NEU	Esta noche, compitiendo con el fútbol a las once menos cuarto, tertulia tranquila en Radio Nacional.
NEU	@musadorada a tu PI? Pues asumo que si. Será tipo conferencia y te daremos certificado. Pasame tu nombre completo
NONE	Vamos a irnos yendo para el estudio...no vaya a ser que...
P	Alba Carrillo como buena modelo haciendo gala de su profesión en la entrevista a Willy Toledo  #HableConEllas
NEU	@LahoraALT @asidesastre @molo_cebrian @CriadoEnterado me faltó @p8ladas y eso que estoy deseando escuchar sus viñetas musicales y lo sabe 
N	+1 RT @nuriarocagranel: Porqué utiliza Chacón ese tono????? A mí, la verdad, es que esa forma de hablar me parece bastante artificial
N	El dolor. Pude tener muchas definiciones, pero el dolor de una madre por la repentina partida de un hijo; es un dolor irreparable. #Dolor
NONE	@garcia_abadillo Yo creo que no.
P	Se acaba un buen año, y va empezar uno mejor, siempre con la.bendición de Dios
P	"Necesitamos todos tener nuestro ""drone""?.Agudo articulo de Fukuyama. http://t.co/Fn1o1zfF"
P	Benedetti, poeta obligado, también para las bodas civiles.
NONE	Se va a reducir un 20% las subvenciones a los partidos políticos
N	Lo más preocupante es que #Trump no cree en el Cambio climático, el líder del mundo libre. La batalla está perdida ahora
P	Dice Alex que muchas gracias por vuestras bienvenidas;-)
P	+1 RT @davidserrato1: @ccifuentes @quediario sin duda alguna la persona mas activa dl PP en TW es @mariviromero un saludo y buen congreso!!
P	@EyeOfDavid__ te conocí y ya no te he vuelto a ver  me pareces super sincero y leal y me gusta hablar contigo
N	ya... aun cerrando asuntos de mi padre RT @Milamorr: Se ha notado que faltabas tu hoy en el #fyt06 :( @mariviromero
N	@silviauc_cr charita que ya no canto igual
N	no encuentro ninguna buena serie en NF.
NONE	"El próximo vídeo es simplemente explicando cómo participar para salir en ""Respondiendo en Verso"" especial 500.000 "
N	Que día mas agotador.... conferencia laboratorio y clase sin parar y para cerrar el día..... mañana tengo clases full day yeeee!
NONE	Una vida en el paracaídas http://t.co/MMUgIKbu
NONE	Portada La Razón http://t.co/G6gBMNy4 ...
P	Boda en Yucatan? Suena de maravilla. Felicidades.. Por todo. RT @Sanz_Yucatan: Oye @AlejandroSanz (cont) http://t.co/yyOsa4Wq
NEU	Buenas noches amigos y enemigos.
N	Esas personas que se aclaman los señores de la lectura -Libro favorito? -Cazadores de sombras #MeCortoUnHuevi
P	Y yo RT @javierarenas_pp: Aspiro a una #Andalucía sin insultos, sin descalificaciones y en la que se respeten las ideas de tod@s.
P	La vez pasada hice una amiga de baño en el Club. Se llamaba Naomi. Saludos Naomi, te tengo presente.
P	@primerafuente1 q increíble, esas historias!!!siempre recibir los favores y sobre de un mismo lugar no? Dar el rhe a un único instituto.
N	Ayer me dieron una botella y le pegue un trago pensando que era yin o Fresca gracias marifer
N	Dice que empresas y familias están en superávit y no es verdad. Justifica otro recorte de 16.500 mill €. Más AJUSTE.
N	Barroso ha dejado la puerta abierta a una renegociación de la cífra de déficit del 4,4 para este año en el Ecofin
P	Cómo todo los VIERNES siempre esperando @Rapperground RAP en la radio a la media noche 12:00am vía los 102.7 FM radio filarmónia yeahh
NEU	Aunque se cayera, igual volvería para el especial navideño de TCMS... http://t.co/JvsKAVbT
NONE	@PanchoGustavo tío peguemos al Lau  Sigues teniendo mi primer grinder?
NONE	Volviendo de Madrid tras el Comité Federal del @PSOE
N	"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en @Gato_directo"
P	Lo que mas amo de mi escritorio es que hay una foto de el y mía juntos aparte de mi cuarto mis cuadro también están de el
NEU	Tengo ahora la entrega de los Premios Internacionales de Periodismo de EM. No podré atenderos. Sobre la superpromo hablad con @clienteorbyt.
NONE	Si por aca hay algún chico o una chica mayor de 18 que busca empleo para temporada navideña en tienda, que me ponga un Dm
P	'Rebecca' tendrá una nueva versión http://t.co/ZArzE9aZ
N	Bueno hoy fui a almorzar a Nanay con otras 3 dras xq la capacitación mal organizada no nos dió almuerzo y encima nos mandan a comer 2pm
N	Rubalcaba todavía no se ha enterado que siempre que se escupe hacia arriba cae para abajo. Que siga...Ya le caerán todas las sandeces q dice
P	La heredera en la sombra del imperio Zara http://t.co/hVyUUwYQ
N	El Gobierno se topa con la realidad, por @Nuno_Rodrigo5  http://t.co/mOvzLDpN
NONE	@zonammorpg Sugerenci ¿Podríais hacer un TOP (o, al menos, alguna recomendación) de los mejores MMORPGS para dispositivos móviles? 
P	Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...
P	@magdyelugaz q lindo verte llevando la alegria a las familias y niños en esas fiestas, espero que la pases lindo amiga Te deseo lo mejor
NONE	Es cuestión de actitud, de perspectiva y circunstancias. Así que buena cara a los momentos malos
P	Entre esta semana y la que viene seguro que anunciaremos la gira acústica de México. besos.
P	Bdías. Hoy hace un año que escribí mi primer tuit. 89.998 gracias. Vuestra influencia me ha ayudado mucho a dirigir EM e impulsar Orbyt
NONE	Ahora sí, hasta mañana y recordad: se acerca el invierno...
P	Ya he visto el sol del Sur
NONE	El Espanyol interesado en Aktí Mel para reforzar su defensa esta temporada. Llegaría por 2 millones del L-Casei Imunitas griego 
P	El PP cambiará la Ley de Costas para legalizar las casas anteriores a 1988 http://t.co/OdaaJoHD
NONE	Hoy en mi blog: ¿Cuál es nuestro camino? #hagamos_nuestro_propio_camino http://t.co/gLISolyr
NEU	"#ConsejosNYC Lo único bueno de ir a ver ""The Book of Mormon"" fue descubrir un nuevo Lillie's en la 49: http://t.co/l81J5Rq8"
P	@marodriguezb estoy de acuerdo!!! Muy de acuerdo. A ver si alguno y escucha!!
N	Si el Gobierno quiere desmentir que el déficit está inflado, debería detallarlo. Aún no hay datos oficiales de las autonomías y es clave.
N	La violencia estructural sobre las mujeres es la desigualdad social y  laboral junto al  machismo ideológico, religioso y cultural.
N	El gobierno se refugia en los votos y eso esta bien. Pero negocia con los mercados y no con los ciudadanos. ¿ES UN GOLPE DE MERCADO?
P	Buenos días foloweros!!!;)) happy monday!!!;)
NONE	Rubalcaba pide entrevistas con Rajoy, con los sindicatos y con los empresarios. Parece que comienza la tarea de oposición del @PSOE
NONE	Una estrella moribunda da pistas del destino último de la Tierra  http://t.co/hx2VOLN2
P	@LoretoBazo Stranger y Mr. Robot ya las he visto, pero eres la segunda que me recomienda The get down, así que a por ella voy, gracias! 
N	Glups!!!! RT @ElTopoErudito: El miedo es la nostalgia de lo que aún se tiene.
N	"aquí @ismaeljamali esta tan nervioso que nos llama "" perros"" a los que no pensamos como el...#miedoNOGracias"
NONE	Las redes sociales como vigilantes de los medios de comunicación, por @davarona http://t.co/OnEMquOl
NEU	Yo solo quiero a alguien que odie A7x conmigo 
NONE	Cabe imaginar que Javier Arenas está rezando mucho, a la Macarena... o a Sánchez Gordillo.#25M
N	Y si directores generales d la Administración central dejaran de tener coche oficial?, por ejemplo...
NONE	Por fin.
P	@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt 
N	@zinoscrew por que piscis al ultimo porq
P	Tomo nota de las recomendaciones que me hacéis.Me bajaré Pages ,porque sincroniza con I Cloud, y probaré algún otro recomendado. Gracias!
NONE	@MexicoFER Obama, Putin, autoridades de Japón y las economías más grandes del mundo están en la ciudad de los reyes, corresponsal LDD
NONE	Rajoy intervendrá en la convención del PP-A en Málaga / El próximo sábado http://t.co/QE98ix4z vía @europapress_es
P	La bici como fuente de felicidad http://t.co/3VQ571Yq
NEU	Es una putada despertarte con esto cuando hoy quería daros los buenos días celebrando la devolución de la independencia al Poder Judicial.
N	¿Podríamos obligar a nuestros políticos a trabajar en vacaciones como quieren hacer en Cataluña?
P	Si los andaluces y andaluzas así lo quieren el 26-M habrá otra forma de gobernar en Andalucía q trabajará desde el minuto uno x esta tierra.
P	Si conseguimos la holgada mayoría que necesita el CAMBIO trabajaremos desde el minuto uno para ganar la partida al PARO y a la CRISIS.
P	@CdeCiencia Bueno, el frío es lo de menos, siempre te puedes poner un buen abrigo 
N	"Subvenciones públicas para decir cosas como esta? Esto es ""cultura""? http://t.co/JLGcwZjW"
NONE	La estación oceano-meteorológica(Boya  AGL) instalada al Norte de Cabo Mayor,Santander,registra a las 6 de la mañana olas de 7,38m de altura
P	""" la formación será derecho individual de cada trabajador y vamos a mejorar la empleabilidad"" @fatimabanez #elcambioandaluz"
P	Esta tarde solidaridad y apoyo para el futuro de Público en El Ateneo.
NEU	Con @cansado2 y @JoseMotatv jugando a batallitas. Jose y javi nordistas. Yo, Atlanta a tope. Malditos yankees!!! http://t.co/0ol68Goo
NONE	Qué pasa de noche en las librerías? -- The Joy of Books http://t.co/YaTzfUyk vía @youtube
NONE	En@TelediarioInter a las 3 compañeros opinan sobre sentencia Garzón: Carmelo Encinas, Brunet, @DavilaGaceta, @garcia_abadillo.
N	Los ministros de economía de la zona euro han aprobado el 2º rescate para evitar que Grecia quiebre. Se destinarán 130000 millones euros
N	@Charmimedicen A gente tonta es dificil acostumbrarse 
P	@IvettlyOficial Yo igual, recuerdo que siempre te estaré apoyando en todo, a pesar de la distancia, siempre estaré aquí.
NONE	Mas argumenta que el presidente dl ICS puede ser vice-pres d USP hospitales porque no cobra dl ICS.Cobra + que l rey en Innova Reus,300.000€
P	“@vvillarroel: RT @jcponline: Deberíamos dejar de ser portavoces del Sur, para ser altavoces del Sur #EncuentroONGD” Me gusta esta idea.
NONE	Las chicas ya van a salir estoy muy nerviosa y feliz que todo salga bien ⭐
N	Decreto del AJUSTE y el RECARGO temporal, pero sobre todo del RIGOR MOTIS de la economía, el PARO y la AUSENCIA  del nuevo presidente Rajoy.
N	Mucho se alerta sobre el viento huracanado pero poco sobre las cenas de empresa en las que se canta el Himno de Bob Esponja.
N	@funfillegamer Soy muy malo funfi me da pena y todo
N	El Athletic está despistado...
N	Lo peor de mi cumple es que ese día empiezo mis clases de nuevo!!
NEU	#Felipe defiende a Garzón. Eso sí que ha sido novedoso
N	Rubalcaba no dice una sola palabra sobre el Concordato y demás. Parece que sobre todo fue una baza ante el discurso de Chacón
P	@EduEmoEsc muchas gracias por seguirme. Nos leemos 
N	Esta ultima ejecucion hizo que se me salieran lagrimas. Fue tan triste la despedida y Sonia llorando que ufff. Directo al kokoro
NONE	#UnLugarEnMiMesa A todas las personas que fueron el mejor respaldo este 2016 Sobre Todo A Ti AMOR
NONE	Si queréis hacer comentarios en el programa podéis mandar vuestros tuits a @MundoaCuestas #VEOTV
N	"¿Habrá mañana ""momento Clos"" (ese desastroso ministro de Industria que prometió el cargo como ministro de Justicia)?"
NONE	Estamos en ello... “@SeijoDani: Tiene público preparada alguna nueva colección literaria??”
NONE	@DiegoPajaron @miguel_prat dicen que tira pa, san Mateo ahora Jaaja 
N	Ha muerto Václav Havel, referencia moral para la izquierda europea. Resistió en los malos momentos y no abandonó los ideales en los buenos
NEU	A ver si os gusta la nueva cabecera.....a mi me encanta..Hoy en #losdesayunosdetve el ministro Soria. Hablamos de energía, paro, Fraga, etc.
P	Mucho ánimo a @guirodi y su equipo, que mantienen viva la llama en @publico_es.
NONE	@malamujer Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo
N	Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?
N	@SergioSmiles Mirate D gray-man desde cero puta 
N	Gente que tiene las posibilidades de ayudar y no lo hacen por tacaños. Espero que algún día se les regrese
N	@LaPonyRosa nu , no sirve cualquiera  Lo probé hace poco para una app coreana y no me dejaba u^u por lo de la tarjeta de crédito
N	Muere un brigadista en el incendio forestal de Orense http://t.co/JJoxBSCT vía Atlas
N	Ojala yo presentándome para el concurso de shawn pero como vergonzosa se nace y  seguro que no me dejan participar pues aqui estoy 
NONE	Desayunando con Gabriela Bravo, portavoz del CGPJ, en el Club Internacional de Prensa. La escuchan corresponsables extranjeros.
N	Vamos a hacer todo lo posible para evitar que la contrarreforma del PP contra los derechos de la mujer salga adelante
NONE	"El Congreso del PP lo tenia que presentar José Luis Fradejas, el de ""Aplauso"", TVE época viejuna."
NEU	Still falling for you es genial omg Aunque ver la cara de Ellie con todos los retoques botoxiles me entristece 
NEU	@PalomaCervilla perdona, he querido decir el friki, el iPad escribe lo que le da la gana
N	Lo único malo de Death Note es que dura muy poco. 
P	La AVT mantiene su homenaje a las víctimas el 11 de marzo - http://t.co/vHs94xh4
P	Te echaremos mucho de menos @sanchez_sonia . Has sido un ejemplo en @informativost5 Chica@s d @La_SER tratadla como se merece! Suerte!!!
N	Se acabó todo, tantas anécdotas que quedarán en el recuerdo ... no me gusta llorar frente a la gente, ahora que estoy solo imaginense
N	Pero estamos convencidos d q @ToniCanto1 no querrá contribuir a ningún expolio y devolverá 130.000 euros al contribuyente valenciano. Seguro
NONE	@gabrielselva_cr Ah no, es en el Auditorio Nacional. Hasta el próximo año en Marzo jaja
NONE	"""Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas"" Fellini"
P	En su nuevo estilo, Rajoy llega a comprender, no a disculpar, a Zapatero aunque solo sea sobre lo largo que es contestar a todos los grupos.
P	Bien por @javier_asturias y los asturianos!
P	http://t.co/A2oqYJtw tengo muchas ganas de que llegue la gira de México, aquí puedes ver las fechas que tenemos.
NONE	#ide el primer día de clase voy a proyectar una de estas fotografías y voy a pedir información sobre foto y autor A ver cómo resuelven 
NEU	comprendo que te molen mis tattoos, pero no te los hagas 'iguales' 
P	"Rajoy dice que se abre ""una nueva etapa reforzando las relaciones de amistad y de buena vecindad"" con Marruecos."
NONE	:-) RT @telescopiodigit: @ccifuentes @pedrorollan visitó la sede de la UME en #Torrejon http://t.co/Osz4Xo30
P	Esta tarde, a la Junta Directiva del PP valenciano: se convocará el congreso que revalidará a @albertofabra como líder regional. @ppcv
P	A las 12:00h estaré en el parque del Retiro, en el homenaje a las víctimas del #11M organizado por la @_AVT_  #11Mconlasvictimas
N	Y la corrupción sigue... Detenido el 'número 2' de la Diputación de Barcelona por tráfico de influencias http://t.co/YbCOS6ro
P	Convertiremos Bruselas en la novena provincia de las prioridades del #gobiernodelcambio para defender nuestra agricultura,ganadería y pesca
N	Creéis que hay o no choque de trenes entre Montoro y de Guindos? sus distintas posiciones sobre control cuentas regionales apuntan a que si
N	Menéame (si quieres): La modestia del ministro Morenés http://t.co/wYKQUGOU
P	#FF para @Xavierdeltell que cumple tropecientos años (y apenas se le nota)
NONE	@Tabernita @ptraciogg pregunta seria.  para cuando kedada/cañas de gente twittera de la zona? 
P	Qué lección de defensa acaba de darle el Fuenla al Madrid. Sólo Felipe tira del equipo. Eso lo dice todo.
N	@mrtfernandez escondida detrás de las nubes... Lloverá? No lloverá? http://t.co/ZV2mA63y
N	Wert: Andalucía necesita una mejora urgente de su sistema educativo tras 30 años de políticas erróneas #elcambioandaluz http://t.co/IQmVIt8r
P	Saludando a uno de los grupos que visita el Consolat de Mar en la jornada de puertas abiertas de hoy http://t.co/7LFaHXl9
P	Buenas noches. Súper orgulloso de mi equipo. Hay cosas con las que no se puede luchar. Hoy el fútbol lo ha puesto el madrid. Muy superiores.
P	#Abril de mis meses preferidos ;-) “@soniachaconp: Inaugurando el mes de abril...”
NEU	Si gallardòn es el mismo de siempre y no ha perdido facultades me temo q en la réplica va a destrozar a  villarubia. #qseprepare
N	Coscu de IU/ICV/CHA rebate con datos la relación d paro y legislación. La mayor destrucción en Irlanda y autónomos con total flexibilidad.
N	Mi profe de comunicación se parece a la profesora Umbridge. Yo sé que en el fondo es malvada y nos quiere ver quedarnos.
N	“@ZI_UR:Con un 8,5%deficit y 23%paro:2 opciones.O bajar el sueldo de funcionarios o subir impuestos. Averiguen que viene” #vamosamorirtodos
NONE	@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso 
P	Ole .. Un abrazo RT @ANTONIOMEJIASP: @AlejandroSanz @gaby_MASBSAS EL CALOR DEL PUEBLICO, EL PODER SACAR ESE OLE A ... http://t.co/rnZ8nG8Y
N	Adiós al maestro de humanidad: http://t.co/A37enFkr vía @diariodejerez
NONE	Que ganas de cagarla y decirle a mis papás que no se quedó donde una amiga si no donde su nuevo novio
N	Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.
N	@ReyDeLosBullies La quiero aniquilar. Desgraciada.
N	Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley
P	@Chuletta diay. Estuvo bonito. 5comentarios
NONE	¿Por qué será que hoy parecía haber más gente en la recepción oficial del aniversario de la Constitución?
P	A ver si os gusta! b Dias! El cartero llama dos veces | Intereconomía | 689632 http://t.co/JL9RVpkn via @intereconomia
P	Gracias, Fernando. RT“@radiocable: @Enric_Hernandez muy buena idea! Y muy agil decision!”
P	Es espectacular, tanto tiempo preparando cada detalle, y por fin lo podréis escuchar, ver y sentir...
N	Hoy es viernes de dolor (aunque la subida de la luz es el mes que viene)
N	Se congelan el sueldo de los funcionarios, pero algunos se siguen yendo de vacaciones gratis total. Top secret. @TelediarioInter 20:30
NONE	Cimborrio #BurgosTróspido
P	Encantado :)“@MariaToledoMT: @JuanraLucas amigo!! mi nuevo single #dameunaoportunidad que se estrena hoy http://t.co/zVRDcG4J Gracias!!!!”
P	Un descubrimiento dedicado a @mananascuatro que se q le encantara a @mrtfernandez http://t.co/x4stGY0H
N	Últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en Instagram. ¿Para cuándo un chico decente? 
NONE	Portada El Mundo http://t.co/0TR272AY ...
N	Otra vez quieren desnaturalizar el tema #BienestarAnimal, dejando en el texto de iniciativa popular sólo a perros y gatos.
P	IU pide al Gobierno la suspensión de los embargos de vivienda habitual que afecten a parados http://t.co/RXAlRJcl #deshaucios
NONE	"Rematada mi columna para @Semanaldigital ""España, en manos del fisioterapeuta De Guindos"" ...  #IVA #consejodeministros #Montoro @PPopular"
N	N pediré q se disculpen ni locutores energúmenos ni gente con problemas con el alcohol, pero los d @periodistadigit si me deben una disculpa
NEU	@CarolinaFTAM jo,es que es mortal 
NONE	"Belloc, por otra parte grande, dijo que Wells era un provinciano y este respondió: ""Al parecer, el señor Belloc ha nacido en toda Europa""."
N	"Los gobiernos UE permiten q ""nuestro"" Banco Central Europeo preste 530.000mill€ a la banca al 1% para comprar deuda publica al 5%. Saqueo."
NONE	@Prifv @kabek no hemos ido a la cabra loca
P	Juan  Moscoso Proyecto, credibilidad y partido http://t.co/eoHZoxoY vía @el_pais
N	Nunca discutas con un idiota, la gente podría no notar la diferencia. Kant (Via @ifilosofia )
N	"""La herencia del @PSOE : trabajos a ratos y 5 euros la hora"" Editorial @13tv_AlDia @13television 20.30h . ¡Gracias Zapatero!"
P	La dama de hierro descubrió la ternura.(via@annabosch) Margaret Thatcher (86 años), ayer en el parque: http://t.co/gm2EEXqn
NONE	"Rajoy ensalza el papel ""clave"" de Manuel Fraga en la Transición http://t.co/BpURYztl"
NEU	México ha patentado la primera vacuna contra el consumo de heroína http://t.co/oDNJvitr via @elmundoes
P	-Silva, la próxima clase sal a debatir para que tengas nota. -¿Me falta nota profe? -No, es que quiero ver cómo les ganas.
P	RT “@sgueina: He apoyado la petición para q a “@sanchez_sonia Rajoy le condecore con la Gran Cruz Carlos III  y Collar Isabel La Católica”
NONE	Me acabo de enterar de que el abogado de #Garzón es el que defendió a Campanario, y luego dicen de Peláez!!
P	gracias Teresa “@Terehernndez: muchas felicidades!! disfruta de tu dia!!”
P	Las medidas han paliado la situación de 650 tripulantes en #Barbate. Insistiré para que en tiempo récord tengamos el mejor acuerdo de pesca
P	Los de color Twitter “@La_Coronel: @pedroj_ramirez De esos 60-70 seguro que hay unos favoritos.”
N	@AoDimi yo es que durante el verano y con la matricula hecha he cambiado de opinion. Quiero dar psicologia pero toca FP de infor 
N	La operación de Carmen me tiene muy triste
NONE	“@antonio_cano_: Se busca Consejero Delegado para The New York Times. http://t.co/Yqdd3O3a”
N	Mataron a Renato López en México, lo único por lo que veía E! News
NONE	Bueno, toca trabajar un poco. Hasta luego.
P	Cierto :-) RT @gemasanzs @EvaPiera_Madrid @IdiazAyuso @ihenriquezluna solo en torno a los mejores se crea un buen ambiente de trabajo
N	RT: “@publico_es: Asalto a la sede del Cobrador del Frac http://t.co/b3khr1TB”
N	Amaiur no cumple los requisitos y no tendrá grupo parlamentario
P	Mi abrazo y toda la fuerza para @conchagcampoy
NONE	Continuanos en IESE.Segunda jornada del Programa de Dirección de Campañas Electorales con Steve Jarding. #iesecampañas
P	@LinkinParkPeru sería genial...Tengo q ir cotizando mis órganos por q si es cierto voy si o si, queda sentenciado! #LinkinParkenPeru2017
